Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
10851;Valmistoitude tootmine;10851;Valmistoitude tootmine;
1086;Homogeenitud toiduainete ja dieettoitude tootmine;1061;Jahu ja tangainete tootmine;
1086;Homogeenitud toiduainete ja dieettoitude tootmine;1062;Tärklise ja tärklisetoodete tootmine;
1086;Homogeenitud toiduainete ja dieettoitude tootmine;1071;"Leivatootmine; lühikese realiseerimisajaga pagaritoodete tootmine";
1086;Homogeenitud toiduainete ja dieettoitude tootmine;1072;Kuivikute, küpsiste, pika realiseerimisajaga pagaritoodete tootmine;
1086;Homogeenitud toiduainete ja dieettoitude tootmine;1073;Makarontoodete tootmine;
1086;Homogeenitud toiduainete ja dieettoitude tootmine;1086;Homogeenitud toiduainete ja dieettoitude tootmine;
10861;Homogeenitud toiduainete ja dieettoitude tootmine;10611;Jahu ja tangainete tootmine;
10861;Homogeenitud toiduainete ja dieettoitude tootmine;10621;Tärklise ja tärklisetoodete tootmine;
10861;Homogeenitud toiduainete ja dieettoitude tootmine;10711;"Leiva- ja saiatootmine; lühikese realiseerimisajaga pagaritoodete tootmine";
10861;Homogeenitud toiduainete ja dieettoitude tootmine;10721;Kuivikute, küpsiste, pika realiseerimisajaga pagaritoodete tootmine;
10861;Homogeenitud toiduainete ja dieettoitude tootmine;10731;Makarontoodete tootmine;
10861;Homogeenitud toiduainete ja dieettoitude tootmine;10861;Homogeenitud toiduainete ja dieettoitude tootmine;
1089;Mujal liigitamata toiduainete tootmine;1089;Mujal liigitamata toiduainete tootmine;
1089;Mujal liigitamata toiduainete tootmine;1107;Alkoholivaba joogi ja villitud vee tootmine;
10891;Mujal liigitamata toiduainete tootmine;10891;Mujal liigitamata toiduainete tootmine;
10891;Mujal liigitamata toiduainete tootmine;11071;Alkoholivaba joogi ja villitud vee tootmine;
109;Valmis loomasööda tootmine;109;Valmis loomasööda tootmine;
1091;Valmissööda tootmine loomakasvatusele;1091;Valmissööda tootmine loomakasvatusele;
10911;Valmissööda tootmine loomakasvatusele;10911;Valmissööda tootmine loomakasvatusele;
1092;Lemmikloomade valmistoidu tootmine;1092;Lemmikloomade valmistoidu tootmine;
10921;Lemmikloomade valmistoidu tootmine;10921;Lemmikloomade valmistoidu tootmine;
11;Joogitootmine;11;Joogitootmine;
110;Joogitootmine;110;Joogitootmine;
1101;Kange alkoholi destilleerimine, rektifitseerimine ja segamine;1101;Kange alkoholi destilleerimine, rektifitseerimine ja segamine;
11011;Kange alkoholi destilleerimine, rektifitseerimine ja segamine;11011;Kange alkoholi destilleerimine, rektifitseerimine ja segamine;
1102;Viinamarjaveini tootmine;1102;Viinamarjaveini tootmine;
11021;Viinamarjaveini tootmine;11021;Viinamarjaveini tootmine;
1103;Siidri ja muu marja- ja puuviljaveini tootmine;1103;Siidri ja muude marjadest ja puuviljadest kääritatud jookide tootmine;
11031;Siidri ja muu marja- ja puuviljaveini tootmine;11031;Siidri ja muude marjadest ja puuviljadest kääritatud jookide tootmine;
1104;Muude destilleerimata kääritatud jookide tootmine;1104;Muude destilleerimata kääritatud jookide tootmine;
11041;Muude destilleerimata kääritatud jookide tootmine;11041;Muude destilleerimata kääritatud jookide tootmine;
1105;Õlletootmine;1105;Õlletootmine;
11051;Õlletootmine;11051;Õlletootmine;
1106;Linnasetootmine;1106;Linnasetootmine;
11061;Linnasetootmine;11061;Linnasetootmine;
1107;"Alkoholivaba joogi tootmine; mineraalvee ja muu villitud vee tootmine";1107;Alkoholivaba joogi ja villitud vee tootmine;
11071;"Alkoholivaba joogi tootmine; mineraalvee ja muu villitud vee tootmine";11071;Alkoholivaba joogi ja villitud vee tootmine;
12;Tubakatoodete tootmine;12;Tubakatoodete tootmine;
120;Tubakatoodete tootmine;120;Tubakatoodete tootmine;
1200;Tubakatoodete tootmine;1200;Tubakatoodete tootmine;
12001;Tubakatoodete tootmine;12001;Tubakatoodete tootmine;
13;Tekstiilitootmine;13;Tekstiilitootmine;
13;Tekstiilitootmine;18;Trükindus ja salvestiste paljundus;
13;Tekstiilitootmine;23;Muude mittemetalsetest mineraalidest toodete tootmine;
131;Tekstiilkiudude ettevalmistamine ja ketramine;131;Tekstiilkiudude ettevalmistamine ja ketramine;
1310;Tekstiilkiudude ettevalmistamine ja ketramine;1310;Tekstiilkiudude ettevalmistamine ja ketramine;
13101;Tekstiilkiudude ettevalmistamine ja ketramine;13101;Tekstiilkiudude ettevalmistamine ja ketramine;
132;Riidekudumine;132;Tekstiilikudumine;
132;Riidekudumine;139;Muu tekstiilitootmine;
132;Riidekudumine;239;Mujal liigitamata abrasiivtoodete ja mittemetalsetest mineraalidest toodete tootmine;
1320;Riidekudumine;1320;Tekstiilikudumine;
1320;Riidekudumine;1396;Tehnilise ja tööstusliku otstarbega tekstiilide tootmine;
